report.txt

####################################################################################################################################

-Laps report:
--Laps count: 14803

######################

--Tracks laptimes stats:

| Track_Name                                                      |   Lap_Counter |   Lap_Mean |   Lap_Max |   Lap_Min |
| Circuit De La Sarthe (1972 - 1978) (13.640 Km)                  |            20 |   241.135  |    315.4  |    215.7  |
| Ebisu                                                           |            19 |    74.5111 |     82.25 |     69.41 |
| Estoril                                                         |            19 |   114.182  |    124.08 |    106    |
| Monticello Motor Club North Course                              |            19 |    88.0726 |     96.21 |     79.42 |
| Mantorp Park                                                    |            19 |    93.0474 |     99.72 |     87.5  |
| Grand Tour Rallycross                                           |            19 |    83.1211 |     99.3  |     77.2  |
| Bedford Autodrome West (Post 5/2015)                            |            19 |    82.7684 |     94.11 |     76.63 |
| Sebring International Raceway                                   |            19 |   114.277  |    141.48 |    100.12 |
| Beijing Olympic Green Circuit (2014)                            |            19 |   104.036  |    112.6  |    102.2  |
| Magione                                                         |            18 |    78.1111 |     82    |     73    |
| Silverstone Southern Loop                                       |            18 |    82.8333 |     96.08 |     66    |
| Thermal Club Raceway                                            |            18 |    83.4672 |     94.3  |     77.18 |
| Circuito Tazio Nuvolari                                         |            18 |    87.7661 |     96.2  |     83.01 |
| Waterford Hills                                                 |            18 |    82.4656 |     92.4  |     70.89 |
| El Toro Topgear Us                                              |            18 |    86.3    |     90    |     82    |
| Lime Rock Park                                                  |            18 |    70.6822 |    101.2  |     59.9  |
| Arctic Circle Raceway                                           |            17 |   110.582  |    119    |     96.29 |
| Charade                                                         |            17 |   139.665  |    148.31 |    129    |
| Assen                                                           |            16 |   117.804  |    134.7  |    104.83 |
| Auto Motor Und Sport Handling                                   |            16 |    25.4325 |     26.7  |     24.76 |
| Nikko                                                           |            16 |    43.0981 |     44.47 |     41.73 |
| Autopartner Test Route                                          |            16 |    73.6069 |     77.34 |     70.18 |
| Hockenheim Short "Powercar Layout"                              |            16 |    77.8113 |     81.66 |     72.86 |
| Ams Driving Center Gross Dolln                                  |            16 |    87.3144 |     93.6  |     81.64 |
| Inta Long (Conf 2)                                              |            15 |    88.128  |     92.57 |     84.47 |
| El Toro                                                         |            14 |    42.8279 |     47.16 |     39.89 |
| Millbrook Alpine Hill Route                                     |            14 |   111.296  |    115.95 |    103.18 |
| Ontario Motor Speedway                                          |            14 |   124.086  |    154    |    114.1  |
| Chuckwalla Valley Raceway                                       |            14 |   119.106  |    124.53 |    111.91 |
| Willow Springs - Streets Of Willow (1.7 Miles)                  |            14 |    74.0243 |     87.48 |     68.45 |
| Mnevniki Airfield                                               |            13 |    84.1923 |    143.25 |     72    |
| Croft (Pre 1997)                                                |            13 |    79.4877 |     85.3  |     74.6  |
| Nürburgring Nordschleife (1927-1966)                            |            13 |   581.508  |    612.1  |    515.4  |
| Circuit Paul Ricard (Pre 2018)                                  |            13 |   102.435  |    132    |     97.03 |
| Road Atlanta                                                    |            13 |    94.2638 |    111    |     84.88 |
| Bend West Circuit                                               |            13 |    97.3969 |    106.93 |     89.5  |
| Zwartkops                                                       |            13 |    75.4423 |     80.92 |     70.01 |
| Laquais                                                         |            12 |    85.2175 |     90.23 |     76    |
| Adria                                                           |            12 |    90.9142 |     95.13 |     83.21 |
| Anneau Du Rhin                                                  |            12 |    85.8233 |     88.08 |     81.2  |
| Modena Autodrome                                                |            11 |    78.6018 |     88.71 |     59.28 |
