,Balocco,Le Mans (Bugatti),Nürburgring Nordschleife,Hockenheim Short,Laguna Seca (Post 1988),Top Gear Track,Sachsenring,Circuit De Nevers Magny-Cours Club,Ring Knutstrop (Conf 2),Vairano Handling Course
Pagani Huayra BC Roadster,,,,,,,,,,67.68
Ford GT (Mk II 656 PS),,,,,,,,,,71.11
McLaren 675LT Spider,,,,,,,,,,72.7
McLaren 570S Spider,,,,,,,,,,72.73
Ferrari 458 Italia Spider,,,,,,,,,,75.15
Porsche 911 Speedster (991),,,,,,,,,,75.26
Ferrari California T,,,,,,,,,,76.7
Jaguar F-type R AWD,,,,,,,,,,77.06
Bentley Continental GT,,,,,,,,,,77.68
Lamborghini Gallardo (520 PS),,,,,,,,,,77.81
Jaguar F-Type P450 Convertible,,,,,,,,,,78.32
Aston Martin DBX,,,,,,,,,,78.57
Maserati Levante Trofeo,,,,,,,,,,78.73
Maserati Quattroporte GTS,,,,,,,,,,79.66
Maserati GranSport Spyder,,,,,,,,,,80.39
Porsche 911 Carrera 4S (997),,,,,,,,,,80.45
Audi RS Q3 Sportback,,,,,,,,,,80.82
Lotus Exige (Mk I),,,,,,,,,,80.9
Mitsubishi Lancer Evo X RS,,,,,,,,,,81.0
Porsche Cayenne S (Mk III),,,,,,,,,,81.29
Jaguar F-Type P300 Convertible,,,,,,,,,,81.68
Bentley Bentayga,,,,,,,,,,81.73
Audi SQ5 TFSI (FY),,,,,,,,,,82.07
Ferrari 612 Scaglietti,,,,,,,,,,82.1
Lamborghini Diablo VT Roadster,,,,,,,,,,82.29
Lotus Elise 111R,,,,,,,,,,82.42
Infiniti Q60 3.0t,,,,,,,,,,82.53
208 GTi Peugeot Sport Anniver..,,,,,,,,,,82.63
Citroen DS3 ,,,,,,,,,,82.71
Maserati Coupe GranSport,,,,,,,,,,82.72
Audi TT 2.0 TDI Ultra,,,,,,,,,,82.99
Giulia 2.0T Q4 Veloce,,,,,,,,,,83.35
Porsche 911 Targa (996 320 PS),,,,,,,,,,83.5
Tesla Model X 90D,,,,,,,,,,83.59
Porsche Panamera Diesel (Mk I),,,,,,,,,,83.66
Maserati Ghibli Diesel,,,,,,,,,,83.7
Audi RS6 Avant (C5),,,,,,,,,,83.72
Stelvio 2.0T Q4 Super,,,,,,,,,,83.73
Lamborghini Diablo VT,,,,,,,,,,83.87
Audi A7 3.0 TDI Quattro,,,,,,,,,,83.87
BMW 328i,,,,,,,,,,83.91
Cadillac XLR-V,,,,,,,,,,83.91
Abarth 124 Spider,,,,,,,,,,83.91
Porsche Boxster S (986 252 PS),,,,,,,,,,84.0
BMW Z3 M Roadster (321 PS),,,,,,,,,,84.0
Ferrari F355,,,,,,,,,,84.08
Abarth 595 Competizione,,,,,,,,,,84.09
BMW 645ci Coupe,,,,,,,,,,84.14
VW Polo GTI 1.8,,,,,,,,,,84.3
Stelvio 2.2 Diesel Q4,,,,,,,,,,84.49
Giulia 2.2 JTD Q4 Veloce,,,,,,,,,,84.5
BMW M550d xDrive (F10),,,,,,,,,,84.6
Spyker C8 Laviolette,,,,,,,,,,84.62
Renault Clio Gordini RS,,,,,,,,,,84.74
Porsche 911 Carrera (996),,,,,,,,,,84.85
Fiat 124 Spider,,,,,,,,,,84.87
Citroen DS3 Racing,,,,,,,,,,84.9
BMW 530d xDrive (G30),,,,,,,,,,84.93
Toyota MR-2 1.8 Roadster,,,,,,,,,,84.95
Audi A5 Sportback 2.0 TDI (9T),,,,,,,,,,85.12
Maserati 3200 GT,,,,,,,,,,85.48
Jaguar XJR,,,,,,,,,,85.68
Mini Cooper JCW (231 PS),,,,,,,,,,85.75
Mini Cooper S (184 PS),,,,,,,,,,85.78
BMW Z3 M Coupe,,,,,,,,,,85.83
A3 Sportback 2.0 TDI Quattro ..,,,,,,,,,,85.9
VW Polo GTI 1.4 TSI,,,,,,,,,,85.94
Opel Speedster,,,,,,,,,,86.15
Alfa Romeo Giulia 2.2 JTD,,,,,,,,,,86.16
BMW 420d,,,,,,,,,,86.22
Alfa Romeo GT 3.2 V6,,,,,,,,,,86.28
Chevrolet Corvette C5 (344 PS),,,,,,,,,,86.32
Audi A3 Sportback 2.0 TDI,,,,,,,,,,86.44
Renault Clio Sport 172 (Mk II),,,,,,,,,,86.48
Ferrari 512 TR,,,,,,,,,,86.49
Porsche Cayenne Turbo (Mk I),,,,,,,,,,86.91
Mercedes-Benz SLK 250 CDI,,,,,,,,,,87.0
Mini Cooper S Works,,,,,,,,,,87.26
BMW 520d (G30),,,,,,,,,,87.38
Audi TT Coupe quattro (Mk I),,,,,,,,,,87.38
CLS 350 CDI Shooting Brake,,,,,,,,,,87.39
BMW 120d  (F20),,,,,,,,,,87.54
Abarth 695 Tributo Ferrari,,,,,,,,,,87.76
Renault Clio V6 (Mk I),,,,,,,,,,87.79
Citroen Saxo VTS,,,,,,,,,,88.0
Cupra Born (150 kW),,,,,,,,,,88.04
Honda Integra Type R (DC2),,,,,,,,,,88.2
Porsche Boxster (986 204 PS),,,,,,,,,,88.35
Fiat Coupe 20V Turbo,,,,,,,,,,88.56
